Age,Overall,Potential,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Position,Weight in lbs,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,Agility,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Years of experience,Height in cm
31,94,94,Left,5.0,4.0,4.0,Medium/ Medium,Messi,RF,159,84.0,95.0,70.0,90.0,86.0,97.0,93.0,94.0,87.0,96.0,91.0,91.0,95.0,85.0,68.0,72.0,59.0,94.0,48.0,22.0,94.0,94.0,75.0,96.0,6.0,11.0,15.0,14.0,8.0,15,170.18
33,94,94,Right,5.0,4.0,5.0,High/ Low,C. Ronaldo,ST,183,84.0,94.0,89.0,81.0,87.0,88.0,81.0,76.0,77.0,94.0,89.0,87.0,70.0,95.0,95.0,88.0,79.0,93.0,63.0,29.0,95.0,82.0,85.0,95.0,7.0,11.0,15.0,14.0,11.0,1,187.96
26,92,93,Right,5.0,5.0,5.0,High/ Medium,Neymar,LW,150,79.0,87.0,62.0,84.0,84.0,96.0,88.0,87.0,78.0,95.0,94.0,96.0,84.0,80.0,61.0,81.0,49.0,82.0,56.0,36.0,89.0,87.0,81.0,94.0,9.0,9.0,15.0,15.0,11.0,2,175.26
27,91,92,Right,4.0,5.0,4.0,High/ High,Normal,RCM,154,93.0,82.0,55.0,92.0,82.0,86.0,85.0,83.0,91.0,91.0,78.0,79.0,77.0,91.0,63.0,90.0,75.0,91.0,76.0,61.0,87.0,94.0,79.0,88.0,15.0,13.0,5.0,10.0,13.0,4,180.34
27,91,91,Right,4.0,4.0,4.0,High/ Medium,Normal,LF,163,81.0,84.0,61.0,89.0,80.0,95.0,83.0,79.0,83.0,94.0,94.0,95.0,94.0,82.0,56.0,83.0,66.0,80.0,54.0,41.0,87.0,89.0,86.0,91.0,11.0,12.0,6.0,8.0,8.0,7,172.72
32,91,91,Right,4.0,4.0,4.0,High/ High,Lean,RCM,146,86.0,72.0,55.0,93.0,76.0,90.0,85.0,78.0,88.0,93.0,80.0,93.0,94.0,79.0,68.0,89.0,58.0,82.0,62.0,83.0,79.0,92.0,82.0,84.0,13.0,9.0,7.0,14.0,9.0,7,172.72
31,91,91,Right,5.0,4.0,3.0,High/ Medium,Normal,RS,190,77.0,93.0,77.0,82.0,88.0,87.0,86.0,84.0,64.0,90.0,86.0,82.0,83.0,86.0,69.0,90.0,83.0,85.0,87.0,41.0,92.0,84.0,85.0,85.0,27.0,25.0,31.0,33.0,37.0,5,182.88
32,91,91,Right,4.0,3.0,3.0,High/ Medium,Normal,RCB,181,66.0,60.0,91.0,78.0,66.0,63.0,74.0,72.0,77.0,84.0,76.0,78.0,66.0,79.0,93.0,84.0,83.0,59.0,88.0,90.0,60.0,63.0,75.0,82.0,11.0,8.0,9.0,7.0,11.0,14,182.88
29,90,90,Right,4.0,4.0,4.0,High/ Medium,Normal,ST,176,62.0,91.0,85.0,83.0,89.0,85.0,77.0,86.0,65.0,89.0,77.0,78.0,78.0,88.0,84.0,78.0,84.0,84.0,80.0,39.0,91.0,77.0,88.0,86.0,15.0,6.0,12.0,8.0,10.0,5,182.88
28,90,90,Right,4.0,5.0,3.0,Medium/ Medium,Normal,LCM,168,88.0,76.0,54.0,92.0,82.0,81.0,86.0,84.0,93.0,90.0,64.0,70.0,71.0,87.0,30.0,75.0,73.0,92.0,60.0,82.0,79.0,86.0,73.0,85.0,10.0,11.0,13.0,7.0,10.0,5,182.88
